time	V(n006)
2.334987910165810e-02	-4.680223e-03
2.346706660165810e-02	5.791447e-02
2.358425410165809e-02	1.197689e-01
2.364563803022952e-02	1.518726e-01
2.370702195880095e-02	1.832784e-01
2.376840588737238e-02	2.139863e-01
2.382978981594380e-02	2.439964e-01
2.389117374451523e-02	2.733087e-01
2.395255767308666e-02	3.019230e-01
2.401394160165808e-02	3.298396e-01
2.404742374451523e-02	3.445665e-01
2.408090588737237e-02	3.589565e-01
2.411438803022951e-02	3.730093e-01
2.414787017308665e-02	3.867252e-01
2.418135231594380e-02	4.001040e-01
2.421483445880094e-02	4.131458e-01
2.424831660165808e-02	4.258505e-01
2.429853981594379e-02	4.442309e-01
2.434876303022951e-02	4.616528e-01
2.439898624451522e-02	4.781163e-01
2.444920945880093e-02	4.936213e-01
2.449943267308665e-02	5.081678e-01
2.454965588737236e-02	5.217559e-01
2.459987910165807e-02	5.343856e-01
2.465010231594379e-02	5.459327e-01
2.470032553022950e-02	5.563658e-01
2.475054874451521e-02	5.656850e-01
2.480077195880093e-02	5.738902e-01
2.485099517308664e-02	5.809815e-01
2.490121838737235e-02	5.869589e-01
2.495144160165806e-02	5.918223e-01
2.499050410165806e-02	5.947820e-01
2.502956660165806e-02	5.970373e-01
2.506862910165806e-02	5.985884e-01
2.510769160165806e-02	5.994352e-01
2.514675410165806e-02	5.995776e-01
2.518581660165806e-02	5.990158e-01
2.522487910165806e-02	5.977496e-01
2.534206660165806e-02	5.897529e-01
2.537554874451520e-02	5.863104e-01
2.540903088737234e-02	5.823743e-01
2.544251303022948e-02	5.779448e-01
2.547599517308663e-02	5.730216e-01
2.550947731594377e-02	5.676050e-01
2.554295945880091e-02	5.616948e-01
2.557644160165805e-02	5.552911e-01
2.563224517308662e-02	5.434923e-01
2.568804874451519e-02	5.304924e-01
2.574385231594376e-02	5.162915e-01
2.579965588737233e-02	5.008895e-01
2.585545945880090e-02	4.842864e-01
2.591126303022947e-02	4.664822e-01
2.596706660165804e-02	4.474770e-01
2.600612910165804e-02	4.335680e-01
2.604519160165804e-02	4.192039e-01
2.608425410165804e-02	4.043848e-01
2.612331660165804e-02	3.891107e-01
2.616237910165804e-02	3.733816e-01
2.620144160165804e-02	3.571974e-01
2.624050410165804e-02	3.405583e-01
2.630746838737232e-02	3.109454e-01
2.637443267308661e-02	2.805653e-01
2.644139695880089e-02	2.494179e-01
2.650836124451517e-02	2.175033e-01
2.657532553022946e-02	1.848214e-01
2.664228981594374e-02	1.513723e-01
2.670925410165803e-02	1.171560e-01
2.674273624451517e-02	1.000056e-01
2.677621838737231e-02	8.281516e-02
2.680970053022945e-02	6.558457e-02
2.684318267308660e-02	4.831386e-02
2.687666481594374e-02	3.100303e-02
2.691014695880088e-02	1.365208e-02
2.694362910165802e-02	-3.738999e-03
2.706081660165802e-02	-6.428613e-02
2.709429874451516e-02	-8.150563e-02
2.712778088737230e-02	-9.861043e-02
2.716126303022945e-02	-1.156005e-01
2.719474517308659e-02	-1.324759e-01
2.722822731594373e-02	-1.492365e-01
2.726170945880087e-02	-1.658824e-01
2.729519160165801e-02	-1.824137e-01
